face_name_align,race,race_scores_goal,race_scores_fair
000135_0_black_face0.jpg,Black,0.999,[0.999 0.    0.    0.    0.    0.    0.   ]
000135_2_latino_face0.jpg,Latino,0.556,[0.    0.001 0.556 0.078 0.015 0.048 0.301]
000135_3_middle eastern_face0.jpg,Middle Eastern,0.695,[0.    0.006 0.146 0.695 0.    0.001 0.152]
000135_4_southeast asian_face0.jpg,East Asian,0.076,[0.    0.    0.    0.    0.076 0.924 0.   ]
000135_5_east asian_face0.jpg,East Asian,0.966,[0.    0.    0.    0.    0.034 0.966 0.   ]
000135_6_white_face0.jpg,White,0.994,[0.    0.    0.002 0.004 0.    0.    0.994]
000173_0_black_face0.jpg,Black,1.0,[1. 0. 0. 0. 0. 0. 0.]
000173_2_latino_face0.jpg,White,0.014,[0.    0.    0.014 0.001 0.    0.    0.984]
000173_3_middle eastern_face0.jpg,White,0.001,[0.    0.    0.001 0.001 0.    0.    0.998]
000173_4_southeast asian_face0.jpg,East Asian,0.036,[0.    0.    0.    0.    0.036 0.963 0.001]
000173_5_east asian_face0.jpg,East Asian,0.986,[0.    0.    0.    0.    0.013 0.986 0.001]
000173_6_white_face0.jpg,White,0.999,[0.    0.    0.    0.    0.    0.    0.999]
000239_0_black_face0.jpg,Black,0.788,[0.788 0.007 0.075 0.    0.085 0.022 0.023]
000239_1_indian_face0.jpg,Indian,0.98,[0.002 0.98  0.016 0.    0.002 0.    0.   ]
000239_2_latino_face0.jpg,Latino,0.515,[0.002 0.008 0.515 0.01  0.133 0.043 0.289]
000239_3_middle eastern_face0.jpg,Latino,0.021,[0.    0.007 0.503 0.021 0.015 0.004 0.45 ]
000239_4_southeast asian_face0.jpg,East Asian,0.469,[0.    0.    0.002 0.    0.469 0.528 0.   ]
000239_5_east asian_face0.jpg,East Asian,0.814,[0.    0.    0.    0.    0.185 0.814 0.   ]
000332_1_indian_face0.jpg,Indian,0.995,[0.    0.995 0.004 0.    0.    0.    0.   ]
000332_2_latino_face0.jpg,Latino,0.718,[0.    0.058 0.718 0.09  0.002 0.001 0.132]
000332_3_middle eastern_face0.jpg,White,0.285,[0.    0.049 0.322 0.285 0.001 0.001 0.342]
000332_4_southeast asian_face0.jpg,East Asian,0.134,[0.    0.    0.006 0.    0.134 0.858 0.001]
000332_5_east asian_face0.jpg,East Asian,0.914,[0.    0.    0.001 0.    0.085 0.914 0.   ]
000332_6_white_face0.jpg,White,0.995,[0.    0.    0.002 0.003 0.    0.    0.995]
000355_1_indian_face0.jpg,Indian,0.993,[0.    0.993 0.005 0.002 0.    0.    0.   ]
000355_2_latino_face0.jpg,Latino,0.883,[0.001 0.021 0.883 0.071 0.006 0.002 0.016]
000355_3_middle eastern_face0.jpg,Middle Eastern,0.92,[0.    0.007 0.06  0.92  0.    0.    0.013]
000355_4_southeast asian_face0.jpg,East Asian,0.214,[0.    0.    0.    0.    0.214 0.785 0.   ]
000355_5_east asian_face0.jpg,East Asian,0.927,[0.    0.    0.    0.    0.073 0.927 0.   ]
000355_6_white_face0.jpg,White,0.954,[0.    0.    0.018 0.026 0.    0.    0.954]
000717_0_black_face0.jpg,Black,0.801,[0.801 0.131 0.057 0.001 0.    0.    0.009]
000717_1_indian_face0.jpg,Indian,0.978,[0.009 0.978 0.01  0.    0.    0.    0.002]
000717_2_latino_face0.jpg,White,0.1,[0.    0.055 0.1   0.339 0.    0.    0.506]
000717_3_middle eastern_face0.jpg,White,0.468,[0.    0.005 0.009 0.468 0.    0.    0.518]
000717_4_southeast asian_face0.jpg,East Asian,0.289,[0.001 0.04  0.128 0.006 0.289 0.513 0.024]
000717_6_white_face0.jpg,Black,0.005,[0.96  0.022 0.012 0.    0.    0.    0.005]
001180_0_black_face0.jpg,Black,0.991,[0.991 0.008 0.001 0.    0.    0.    0.   ]
001180_1_indian_face0.jpg,Indian,0.982,[0.007 0.982 0.002 0.009 0.    0.    0.   ]
001180_2_latino_face0.jpg,Middle Eastern,0.026,[0.002 0.259 0.026 0.706 0.    0.    0.008]
001180_3_middle_eastern_face0.jpg,Middle Eastern,0.905,[0.    0.036 0.014 0.905 0.    0.    0.045]
001180_4_southeast_asian_face0.jpg,Southeast Asian,0.503,[0.001 0.034 0.014 0.001 0.503 0.446 0.001]
001180_6_white_face0.jpg,White,0.999,[0.    0.    0.    0.001 0.    0.    0.999]
001299_0_black_face0.jpg,Middle Eastern,0.208,[0.208 0.077 0.324 0.353 0.027 0.003 0.008]
001299_1_indian_face0.jpg,Indian,0.484,[0.001 0.484 0.063 0.449 0.001 0.    0.002]
001299_2_latino_face0.jpg,Middle Eastern,0.036,[0.    0.006 0.036 0.95  0.001 0.    0.007]
001299_3_middle eastern_face0.jpg,Middle Eastern,0.908,[0.    0.019 0.058 0.908 0.001 0.001 0.014]
001299_4_southeast asian_face0.jpg,East Asian,0.253,[0.    0.    0.001 0.    0.253 0.746 0.   ]
001299_5_east asian_face0.jpg,East Asian,0.958,[0.    0.    0.    0.    0.042 0.958 0.   ]
001728_0_black_face0.jpg,Black,1.0,[1. 0. 0. 0. 0. 0. 0.]
001728_1_indian_face0.jpg,Indian,0.967,[0.009 0.967 0.009 0.014 0.    0.    0.   ]
001728_2_latino_face0.jpg,Middle Eastern,0.246,[0.002 0.033 0.246 0.441 0.    0.    0.278]
001728_3_middle eastern_face0.jpg,Middle Eastern,0.906,[0.    0.001 0.008 0.906 0.    0.    0.085]
001728_5_east asian_face0.jpg,East Asian,0.902,[0.    0.    0.    0.    0.093 0.902 0.005]
001728_6_white_face0.jpg,White,1.0,[0. 0. 0. 0. 0. 0. 1.]
002689_0_black_face0.jpg,Black,0.832,[0.832 0.007 0.149 0.002 0.    0.    0.009]
002689_1_indian_face0.jpg,Indian,0.973,[0.    0.973 0.005 0.021 0.    0.    0.   ]
002689_2_latino_face0.jpg,Middle Eastern,0.12,[0.    0.007 0.12  0.732 0.    0.    0.141]
002689_3_middle eastern_face0.jpg,Middle Eastern,0.567,[0.    0.001 0.022 0.567 0.    0.    0.41 ]
002689_5_east asian_face0.jpg,East Asian,0.956,[0.    0.    0.004 0.003 0.029 0.956 0.008]
002689_6_white_face0.jpg,Black,0.0,[0.996 0.    0.003 0.    0.    0.    0.   ]
002757_0_black_eq_face0.jpg,Black,0.979,[0.979 0.004 0.007 0.    0.008 0.001 0.   ]
002757_1_indian_eq_face0.jpg,Indian,0.981,[0.006 0.981 0.006 0.002 0.004 0.001 0.001]
002757_2_latino_eq_face0.jpg,Latino,0.298,[0.07  0.051 0.298 0.22  0.132 0.145 0.083]
002757_4_southeast_asian_eq_face0.jpg,East Asian,0.307,[0.    0.001 0.001 0.    0.307 0.691 0.   ]
002757_5_east_asian_eq_face0.jpg,East Asian,0.914,[0.    0.    0.    0.    0.086 0.914 0.   ]
002757_6_white_eq_face0.jpg,Black,0.0,[0.998 0.    0.001 0.    0.    0.    0.   ]
004874_0_black_eq_face0.jpg,Black,1.0,[1. 0. 0. 0. 0. 0. 0.]
004874_1_indian_eq_face0.jpg,Indian,0.842,[0.138 0.842 0.01  0.005 0.004 0.    0.   ]
004874_2_latino_eq_face0.jpg,East Asian,0.002,[0.    0.    0.002 0.    0.201 0.796 0.   ]
004874_4_southeast_asian_eq_face0.jpg,East Asian,0.1,[0.    0.    0.    0.    0.1   0.899 0.   ]
004874_5_east_asian_eq_face0.jpg,East Asian,0.978,[0.    0.    0.    0.    0.022 0.978 0.   ]
004874_6_white_eq_face0.jpg,White,1.0,[0. 0. 0. 0. 0. 0. 1.]
005124_0_black_face0.jpg,Middle Eastern,0.264,[0.264 0.135 0.071 0.523 0.004 0.    0.003]
005124_1_indian_face0.jpg,Middle Eastern,0.055,[0.001 0.055 0.044 0.892 0.    0.    0.008]
005124_3_middle eastern_face0.jpg,Middle Eastern,0.96,[0.    0.001 0.006 0.96  0.    0.    0.033]
005124_4_southeast asian_face0.jpg,East Asian,0.173,[0.    0.006 0.127 0.023 0.173 0.631 0.04 ]
005124_5_east asian_face0.jpg,East Asian,0.839,[0.    0.    0.02  0.008 0.079 0.839 0.053]
005124_6_white_face0.jpg,White,0.991,[0.    0.    0.    0.009 0.    0.    0.991]
005486_0_black_face0.jpg,Black,0.997,[0.997 0.    0.003 0.    0.    0.    0.   ]
005486_1_indian_face0.jpg,Indian,0.999,[0.    0.999 0.    0.    0.    0.    0.   ]
005486_3_middle eastern_face0.jpg,Middle Eastern,0.657,[0.    0.001 0.009 0.657 0.    0.    0.333]
005486_4_southeast asian_face0.jpg,East Asian,0.262,[0.    0.    0.001 0.    0.262 0.736 0.001]
005486_5_east asian_face0.jpg,East Asian,0.95,[0.    0.    0.    0.    0.048 0.95  0.002]
005486_6_white_face0.jpg,White,1.0,[0. 0. 0. 0. 0. 0. 1.]
